Surname,First Name,Team,W,L,ERA,APP,GS,SV,CG,SHO,IP,H,R,ER,BB,SO,H2,H3,HR,AB,BAVG,WP,HBP,BK,SFA,SHA,GO,FO
Martin,Julio,ANGEL,0,1,,2,0,1,0,0,7.2,4,3,0,4,2,1,0,0,29,,2,0,0,,,,
Hernandez,Yusber,TITAN,1,1,,2,1,0,1,1,7.0,6,1,1,0,1,2,0,1,29,,0,0,0,,,,
Marin,Edilio,CENTR,4,1,,7,6,0,4,0,38.0,50,29,18,11,22,8,1,9,167,,1,0,1,,,,
Linares,Jorge,ANGEL,5,1,,7,7,0,5,2,39.1,48,28,20,12,11,13,0,3,164,,4,0,0,,,,
Andres Lopez,Abner,TITAN,3,1,,5,3,0,3,0,25.1,38,18,13,5,6,9,0,4,118,,1,0,0,,,,
Carrero,Franklin,HALCO,0,2,,3,2,0,2,0,17.0,24,18,12,7,10,3,1,3,78,,4,0,0,,,,
Marquez,Juan,TITAN,0,1,,3,3,0,0,0,10.1,16,11,10,5,2,6,1,2,47,,1,0,3,,,,
Garcia,Jordany,HALCO,0,2,,4,2,0,0,0,9.1,20,20,12,5,4,10,0,5,51,,3,0,0,,,,
Martinez,Raul,HALCO,0,3,,4,3,0,1,0,15.0,29,22,21,10,6,10,1,7,72,,0,0,1,,,,
Riera,Gino,TITAN,0,0,,1,0,0,0,0,0.1,1,2,0,0,0,0,0,0,3,,0,0,0,,,,
Montenegro,Maikel,CENTR,1,0,,2,0,0,0,0,4.1,6,7,6,3,1,1,0,1,21,,0,0,0,,,,
Saavedra,Kevin,CENTR,0,1,,1,1,0,0,0,1.2,2,8,7,6,0,0,0,1,7,,1,0,0,,,,
