Surname,First Name,Team,G,C,PO,A,E,FLDP,DP,SBA,CSB,SBAP,PB,CI
ABRY,Yves,ANT,4,3,2,1,0,1.000,0,0,0,,0,0
ADAMS,Dave,DEU,3,1,0,1,0,1.000,0,0,0,,0,0
ADRIAENSEN,Jayden,TBS,2,4,2,2,0,1.000,0,0,0,,0,0
AELBRECHT,Nick,DEU,2,15,13,1,1,0.933,0,1,0,100.0,0,0
ALLISON,Blaine,HEI,2,4,1,3,0,1.000,1,0,0,,0,0
AUDENAERT,Sven,CHI,4,3,1,0,2,0.333,0,0,0,,0,0
BARBIER,Jasper,CHI,4,3,1,1,1,0.667,0,9,0,100.0,0,0
BETTIO,Kerim,GRE,4,28,24,3,1,0.964,0,0,0,,0,0
BOSMANS,Hans,HEI,3,3,3,0,0,1.000,0,0,0,,0,0
CARIS ALIAS REYNDERS,Alexander,ANT,1,2,1,0,1,0.500,0,0,0,,4,0
CEDEÑO,Aquiles,TBS,4,6,3,3,0,1.000,0,0,0,,0,0
CLAES,Wesley,CHI,5,15,9,6,0,1.000,1,2,0,100.0,3,0
CLOOTS,Marco,CHI,4,1,0,1,0,1.000,0,0,0,,0,0
COLANS,Jeffrey,DEU,3,9,6,1,2,0.778,1,0,0,,0,0
COPPENS,Tom,GRE,4,2,1,1,0,1.000,0,0,0,,0,0
DE RYCK,Ben,BRU,6,3,3,0,0,1.000,0,1,0,100.0,0,0
DE SMET,Niels,HEI,4,14,11,2,1,0.929,1,22,1,95.7,7,0
DE WOLF,Nigel,ANT,3,1,0,0,1,0.000,0,0,0,,0,0
EELEN,Lars,TBS,2,2,2,0,0,1.000,0,0,0,,0,0
GEBRUERS,Jan,TBS,4,16,16,0,0,1.000,0,8,0,100.0,0,0
GELDOF,Dean,GRE,2,2,0,1,1,0.500,0,0,0,,0,0
GELDOF,Vincent,ANT,3,6,4,2,0,1.000,0,0,0,,0,0
GODEFROI,Christophe,BRU,5,3,1,0,2,0.333,0,0,0,,0,0
GUERRA ARTEAGA,Juan Carlos,DEU,4,7,3,4,0,1.000,0,1,0,100.0,0,0
HABRAKEN,Steff,TBS,5,5,1,2,2,0.600,0,5,0,100.0,0,0
HEIVERS,Daan,HEI,6,9,3,5,1,0.889,1,0,0,,0,0
HERMANS,Jef,TBS,3,6,5,0,1,0.833,0,0,0,,2,0
HEYKERS,Lars,ANT,3,4,4,0,0,1.000,0,0,0,,0,0
IMHOF,Thomas,TBS,3,6,4,2,0,1.000,0,0,0,,0,0
JANSSENS,Fien,HEI,2,1,1,0,0,1.000,0,0,0,,0,0
KASCHL,Arno,BRU,3,5,5,0,0,1.000,0,0,0,,0,0
KENNES,Jutta,HEI,3,2,1,1,0,1.000,0,0,0,,0,0
KOK,Jordy,TBS,3,2,2,0,0,1.000,0,0,0,,0,0
KOSAKA,Kohei,BRU,3,14,2,11,1,0.929,0,0,0,,0,0
LAENEN,Patrick,ANT,3,5,4,1,0,1.000,0,0,0,,0,0
LANOOTE,Jeroen,ANT,3,12,5,6,1,0.917,0,2,0,100.0,2,0
LANSSENS,Steve,ANT,5,9,4,3,2,0.778,0,0,0,,0,0
LE DUC,Kyan,CHI,3,10,10,0,0,1.000,1,0,0,,0,0
LEYS,Michael,DEU,2,8,6,1,1,0.875,0,0,0,,0,0
LINTERMANS,Lukas,TBS,2,2,2,0,0,1.000,0,0,0,,0,0
MACKEN,Serge,BRU,9,4,3,1,0,1.000,0,8,0,100.0,0,0
MAEYNINCKX,Lukas,TBS,4,6,6,0,0,1.000,0,0,0,,0,0
MEURS,Andreas,HEI,2,2,1,1,0,1.000,0,1,0,100.0,0,0
MIYAMOTO,Koji,BRU,3,13,12,1,0,1.000,0,3,0,100.0,0,0
ORTIZ BUENO,Gean Michel,HEI,4,9,5,3,1,0.889,0,0,0,,0,0
PINEDA VILLAMEDIANA,Johnny Ysmael,DEU,2,2,1,1,0,1.000,0,0,0,,0,0
RAMAROJAONA,Serge,GRE,3,3,2,1,0,1.000,0,0,0,,3,0
ROSEMAN,William,BRU,5,10,6,2,2,0.800,0,0,0,,0,0
SATENS,Matthew,HEI,2,5,2,2,1,0.800,1,0,0,,0,0
SELS,Luca,CHI,3,2,1,1,0,1.000,0,0,0,,0,0
SMITS,Pieter,DEU,5,8,7,1,0,1.000,0,0,0,,0,0
SMITS,Raf,DEU,2,3,3,0,0,1.000,0,0,0,,0,0
TROUSSART,Olivier,BRU,4,8,5,2,1,0.875,0,0,0,,0,0
VALGAEREN,Beau-Jay,BRU,3,16,13,2,1,0.938,0,4,1,80.0,1,0
VAN ACKEREN,Peter,ANT,3,17,12,2,3,0.824,0,0,0,,0,0
VAN AELST,Jeff,HEI,4,1,0,1,0,1.000,1,0,0,,0,0
VAN DER LINDEN,Lukas,GRE,2,4,4,0,0,1.000,0,0,0,,0,0
VAN DER VEKEN,Tine,HEI,4,6,4,2,0,1.000,0,0,0,,5,0
VAN DER WEEHE,Amber,TBS,1,1,1,0,0,1.000,0,0,0,,0,0
VAN DER WEEHE,Danny,TBS,4,5,2,2,1,0.800,0,0,0,,0,0
VAN GENECHTEN,Joseph,GRE,8,3,2,1,0,1.000,0,0,0,,0,0
VAN LINDEN,Brett,CHI,1,1,1,0,0,1.000,0,0,0,,0,0
VAN LOON,Dennis,GRE,3,2,1,1,0,1.000,0,0,0,,0,0
VAN OPDORP,Kevin,ANT,8,5,3,2,0,1.000,0,1,0,100.0,3,0
VAN SELM,Hendrik,GRE,2,3,1,2,0,1.000,0,0,0,,0,0
VAN TENDELOO,Luka,TBS,3,1,1,0,0,1.000,0,0,0,,0,0
VAN UFFELEN,Sam,CHI,4,4,2,1,1,0.750,0,0,0,,0,0
VAN WAUWE,Sofie,BRU,7,13,8,5,0,1.000,0,1,0,100.0,0,0
VAN WOENSEL,Bram,HEI,4,22,21,0,1,0.955,3,0,0,,0,0
VANDAELE,Joeni,GRE,4,6,6,0,0,1.000,0,3,0,100.0,0,0
VANHOVE,Lex,CHI,4,7,4,1,2,0.714,0,0,0,,0,0
VEGA MAYAN,Frank Ernesto,HEI,3,9,4,5,0,1.000,1,2,0,100.0,5,0
VERHAEGEN,Arvid,CHI,3,9,9,0,0,1.000,0,24,0,100.0,2,0
