Surname,First Name,Team,G,C,PO,A,E,FLDP,DP,SBA,CSB,SBAP,PB,CI
ABRY,Yves,ANT,5,6,2,3,1,0.833,0,0,0,,0,0
ADAMS,Dave,DEU,3,1,0,1,0,1.000,0,0,0,,0,0
ADRIAENSEN,Jayden,TBS,5,10,2,6,2,0.800,0,0,0,,0,0
AELBRECHT,Nick,DEU,2,15,13,1,1,0.933,0,1,0,100.0,0,0
ALLISON,Blaine,HEI,2,4,1,3,0,1.000,1,0,0,,0,0
ALLISON,Blaine,TBS,3,2,1,1,0,1.000,0,0,0,,0,0
AUDENAERT,Sven,CHI,6,4,1,0,3,0.250,0,0,0,,0,0
BARBIER,Jasper,CHI,4,3,1,1,1,0.667,0,9,0,100.0,0,0
BETTIO,Kerim,GRE,4,28,24,3,1,0.964,0,0,0,,0,0
BOSMANS,Hans,HEI,5,3,3,0,0,1.000,0,0,0,,0,0
CAPPAERT,Zeb,GRE,1,2,0,2,0,1.000,0,0,0,,0,0
CARIS ALIAS REYNDERS,Alexander,ANT,1,2,1,0,1,0.500,0,0,0,,4,0
CEDEÑO,Aquiles,TBS,7,11,7,4,0,1.000,0,0,0,,0,0
CLAES,Wesley,CHI,8,26,17,9,0,1.000,1,8,1,88.9,3,0
CLOOTS,Marco,CHI,7,2,1,1,0,1.000,0,0,0,,0,0
COLANS,Jeffrey,DEU,3,9,6,1,2,0.778,1,0,0,,0,0
COPPENS,Tom,GRE,5,3,2,1,0,1.000,0,0,0,,0,0
DE CLOEDT,Jelle,CHI,6,4,2,1,1,0.750,0,11,0,100.0,0,0
DE RYCK,Ben,BRU,10,3,3,0,0,1.000,0,1,0,100.0,0,0
DE SMET,Niels,HEI,6,21,15,5,1,0.952,1,22,1,95.7,12,0
DE VOCHT,Robin,ANT,2,4,4,0,0,1.000,1,0,0,,0,0
DE WOLF,Nigel,ANT,3,1,0,0,1,0.000,0,0,0,,0,0
EELEN,Lars,TBS,2,2,2,0,0,1.000,0,0,0,,0,0
GEBRUERS,Jan,TBS,7,33,31,2,0,1.000,0,9,1,90.0,0,0
GELDOF,Dean,GRE,3,3,0,2,1,0.667,0,0,0,,0,0
GELDOF,Vincent,ANT,3,6,4,2,0,1.000,0,0,0,,0,0
GODEFROI,Christophe,BRU,6,3,1,0,2,0.333,0,0,0,,0,0
GOOS,Yannick,GRE,1,1,0,1,0,1.000,0,0,0,,0,0
GUERRA ARTEAGA,Juan Carlos,DEU,4,7,3,4,0,1.000,0,1,0,100.0,0,0
HABRAKEN,Steff,TBS,11,9,2,5,2,0.778,0,13,0,100.0,0,0
HEIVERS,Daan,HEI,8,17,9,7,1,0.941,1,0,0,,0,0
HERMANS,Jef,TBS,5,8,6,1,1,0.875,0,0,0,,2,0
HEYKERS,Lars,ANT,5,5,5,0,0,1.000,0,0,0,,0,0
IMHOF,Thomas,TBS,6,15,13,2,0,1.000,0,0,0,,0,0
JANSSEN,Aerjen,CHI,3,1,1,0,0,1.000,0,0,0,,0,0
JANSSEN,Tom,CHI,1,2,2,0,0,1.000,0,0,0,,0,0
JANSSENS,Fien,HEI,2,1,1,0,0,1.000,0,0,0,,0,0
KASCHL,Arno,BRU,5,6,6,0,0,1.000,0,0,0,,0,0
KENNES,Jutta,HEI,4,4,2,2,0,1.000,0,0,0,,0,0
KOK,Jordy,TBS,4,2,2,0,0,1.000,0,0,0,,0,0
KOSAKA,Kohei,BRU,4,14,2,11,1,0.929,0,0,0,,0,0
LAENEN,Patrick,ANT,3,5,4,1,0,1.000,0,0,0,,0,0
LANOOTE,Jeroen,ANT,4,12,5,6,1,0.917,0,2,0,100.0,2,0
LANSSENS,Steve,ANT,8,14,5,5,4,0.714,0,0,0,,0,0
LE DUC,Kyan,CHI,5,16,15,0,1,0.938,1,0,0,,0,0
LEYS,Michael,DEU,2,8,6,1,1,0.875,0,0,0,,0,0
LINTERMANS,Lukas,TBS,3,2,2,0,0,1.000,0,0,0,,0,0
MACKEN,Serge,BRU,11,5,3,2,0,1.000,0,8,0,100.0,0,0
MAEYNINCKX,Lukas,TBS,5,10,9,0,1,0.900,0,0,0,,0,0
MEURS,Andreas,HEI,4,2,1,1,0,1.000,0,29,0,100.0,0,0
MIYAMOTO,Koji,BRU,3,13,12,1,0,1.000,0,3,0,100.0,0,0
MORIN,Mathis,BRU,3,2,1,1,0,1.000,0,0,0,,0,0
ORTIZ BUENO,Gean Michel,HEI,7,12,7,4,1,0.917,0,0,0,,0,0
PAPANIKITAS,Tobias,ANT,1,3,2,1,0,1.000,0,3,0,100.0,3,0
PINEDA VILLAMEDIANA,Johnny Ysmael,DEU,2,2,1,1,0,1.000,0,0,0,,0,0
RAMAROJAONA,Serge,GRE,3,3,2,1,0,1.000,0,0,0,,3,0
ROSEMAN,William,BRU,7,11,7,2,2,0.818,0,0,0,,0,0
SATENS,Matthew,HEI,2,5,2,2,1,0.800,1,0,0,,0,0
SELS,Luca,CHI,5,5,1,4,0,1.000,0,0,0,,0,0
SMITS,Pieter,DEU,5,8,7,1,0,1.000,0,0,0,,0,0
SMITS,Raf,DEU,2,3,3,0,0,1.000,0,0,0,,0,0
STROOBANT,Leen,ANT,2,3,2,0,1,0.667,0,4,0,100.0,1,0
TROUSSART,Olivier,BRU,5,9,6,2,1,0.889,0,0,0,,0,0
VALGAEREN,Beau-Jay,BRU,5,22,18,3,1,0.955,0,4,1,80.0,1,0
VAN ACKEREN,Peter,ANT,5,24,19,2,3,0.875,0,0,0,,0,0
VAN AELST,Jeff,HEI,6,4,0,3,1,0.750,1,2,0,100.0,0,0
VAN DE POEL,Rob,GRE,1,6,6,0,0,1.000,0,0,0,,0,0
VAN DE VIJVER,Caro,CHI,1,8,8,0,0,1.000,0,3,0,100.0,2,0
VAN DER LINDEN,Lukas,GRE,3,9,8,1,0,1.000,0,0,0,,1,0
VAN DER VEKEN,Tine,HEI,5,8,5,2,1,0.875,0,0,0,,5,0
VAN DER VORST,David,CHI,4,1,0,1,0,1.000,0,0,0,,0,0
VAN DER WEEHE,Amber,TBS,2,1,1,0,0,1.000,0,0,0,,0,0
VAN DER WEEHE,Danny,TBS,8,10,4,4,2,0.800,0,0,0,,0,0
VAN DONINCK,Tomas,TBS,1,3,2,0,1,0.667,0,0,0,,0,0
VAN GENECHTEN,Joseph,GRE,12,5,2,3,0,1.000,0,0,0,,0,0
VAN LINDEN,Brett,CHI,1,1,1,0,0,1.000,0,0,0,,0,0
VAN LOON,Dennis,GRE,4,3,1,1,1,0.667,0,0,0,,0,0
VAN OPDORP,Kevin,ANT,12,9,5,3,1,0.889,0,1,0,100.0,3,0
VAN ROEYEN,Wout,ANT,2,3,1,0,2,0.333,1,2,0,100.0,7,0
VAN SELM,Hendrik,GRE,4,4,2,2,0,1.000,0,0,0,,0,0
VAN TENDELOO,Luka,TBS,6,4,2,1,1,0.750,0,0,0,,0,0
VAN UFFELEN,Sam,CHI,7,10,4,4,2,0.800,0,0,0,,0,0
VAN WAUWE,Sofie,BRU,8,17,12,5,0,1.000,0,1,0,100.0,0,0
VAN WOENSEL,Bram,HEI,6,31,30,0,1,0.968,3,0,0,,0,0
VANDAELE,Joeni,GRE,6,8,7,1,0,1.000,0,3,0,100.0,0,0
VANDENBUSSCHE,Cynthia,ANT,1,4,1,3,0,1.000,0,0,0,,0,0
VANHOVE,Lex,CHI,7,12,8,2,2,0.833,0,0,0,,0,0
VEGA MAYAN,Frank Ernesto,HEI,3,9,4,5,0,1.000,1,2,0,100.0,5,0
VERHAEGEN,Arvid,CHI,4,11,11,0,0,1.000,0,24,0,100.0,2,0
VERHEYDEN,Djamy,DEU,3,8,2,6,0,1.000,1,0,0,,0,0
VERSTRAETEN,Elias,DEU,2,1,0,0,1,0.000,0,0,0,,0,0
VINCK,Matthieu,GRE,8,14,12,2,0,1.000,0,0,0,,0,0
VISCHSCHOONMAKER,Connor,GRE,5,10,10,0,0,1.000,0,1,0,100.0,0,0
VOET,Cédric,BRU,4,11,5,4,2,0.818,0,7,0,100.0,1,0
VOLKAERT,Filip,GRE,5,10,8,2,0,1.000,0,0,0,,0,0
