Surname,First Name,Team,W,L,ERA,APP,GS,SV,CG,SHO,IP,H,R,ER,BB,SO,H2,H3,HR,AB,BAVG,WP,HBP,BK,SFA,SHA,GO,FO
ALMAO MOGOLLON,Samuel,BRU,0,0,7.71,3,0,0,0,0,4.2,7,4,4,3,5,1,0,0,19,0.368,0,0,0,0,0,6,1
BAR,Maxime,LIE,2,2,5.20,5,4,0,1,0,27.2,22,20,16,36,31,1,1,0,101,0.218,7,10,0,0,0,28,15
BARIAUX,Ludovic,BRI,0,0,31.50,4,1,0,0,0,6.0,11,21,21,12,7,2,0,0,29,0.379,2,10,0,1,0,5,6
BELMANS,Jonas,BRA,2,1,2.89,5,4,0,1,0,18.2,14,8,6,10,28,2,1,0,66,0.212,3,2,0,1,1,15,9
BIESEMANS,Leko,MER,0,0,9.00,1,1,0,0,0,3.0,3,4,3,2,6,0,0,0,14,0.214,0,2,0,0,0,2,1
BLAKE,Isaac,MER,1,0,0.00,1,0,0,0,0,3.0,0,0,0,0,3,0,0,0,9,0.000,0,1,0,0,0,1,5
BORCHARDT,Quinten,WBA,2,1,8.44,6,4,0,1,0,21.1,28,29,20,10,13,1,0,0,92,0.304,3,13,0,1,1,34,12
BORCHARDT,Seppe,WBA,1,1,17.55,3,1,0,0,0,6.2,15,19,13,9,6,1,0,0,36,0.417,0,1,1,0,0,6,6
BORCHARDT,Wannes,WBA,0,0,34.71,3,0,0,0,0,2.1,2,9,9,11,1,0,0,0,8,0.250,6,0,0,0,1,3,3
CAPPAERT,Zeb,BOR,1,0,0.00,1,1,0,0,0,3.0,1,0,0,2,6,0,0,0,10,0.100,0,0,0,0,0,0,3
CHANG,Shu,BRU,0,1,6.43,2,1,0,0,0,7.0,7,5,5,5,4,0,0,0,29,0.241,0,0,1,0,0,13,4
CLINCKART,Emeric,MSG,0,0,5.40,2,0,0,0,0,5.0,4,3,3,1,3,1,0,0,19,0.211,1,2,0,0,0,5,7
CONICKX,Pieter,MER,0,3,14.09,3,2,0,0,0,7.2,12,21,12,15,6,1,0,0,35,0.343,5,0,0,0,2,16,1
CORTES ROJAS,Carlos Alberto,BRI,0,0,0.00,1,0,0,0,0,1.1,1,0,0,1,2,0,0,0,4,0.250,0,2,0,0,0,1,0
DE BAETS,Matthias,BOR,1,0,15.00,1,1,0,0,0,3.0,2,5,5,9,7,0,0,0,11,0.182,4,0,0,0,0,2,0
DE BOEY,Robbe,BRA,0,1,14.73,1,1,0,0,0,3.2,4,6,6,2,5,3,0,0,13,0.308,0,0,0,1,1,4,2
DE LA ROSA,Andres,LIE,0,0,45.00,1,0,0,0,0,1.0,4,5,5,3,1,1,0,0,6,0.667,0,1,0,1,0,1,1
DE MEESTER,Daan,WBA,0,2,18.00,2,2,0,0,0,5.0,12,15,10,8,8,3,0,0,28,0.429,2,0,2,0,0,7,0
DE ROO,Maxime,LIE,0,0,0.00,1,0,0,0,0,1.2,1,0,0,0,4,0,0,0,5,0.200,0,0,0,0,0,0,0
DE ZUTTER,Ruben,ZOT,1,1,5.87,3,2,0,0,0,7.2,2,5,5,15,12,0,0,0,21,0.095,3,0,0,0,0,3,4
DELETOMBE,Maxime,BRI,0,1,13.00,4,1,0,0,0,9.0,13,14,13,9,8,2,0,1,40,0.325,0,1,0,1,0,10,6
DENACHTERGAEL,Ryan,MSG,4,1,9.00,7,5,0,0,0,21.0,22,27,21,22,20,4,0,1,86,0.256,3,8,0,1,0,25,16
DOM,Glenn,MER,0,1,3.00,2,1,0,0,0,3.0,6,3,1,2,0,0,0,0,15,0.400,0,0,0,0,0,7,1
EDERICH,Arthur,LIE,1,0,9.53,2,1,0,0,0,5.2,6,6,6,7,1,0,0,0,24,0.250,0,1,0,0,0,8,8
FREITEZ,Jhoanderson,BRI,0,0,9.00,1,0,0,0,0,2.0,0,3,2,4,4,0,0,0,6,0.000,0,1,0,0,0,1,1
GENAO,Rigoberto,BRI,0,0,9.00,2,0,0,0,0,1.0,2,1,1,2,1,0,0,0,4,0.500,1,2,0,0,0,1,0
GONTIER,Yannick,BOR,1,0,5.63,1,1,0,1,0,8.0,9,6,5,5,6,2,0,1,33,0.273,0,2,0,1,0,8,8
GUERRA ELIZONDO,César Emilio,BRI,0,0,54.00,1,0,0,0,0,0.1,0,2,2,4,0,0,0,0,1,0.000,2,0,0,0,0,1,0
JOOS,Jorben,WBA,0,0,0.00,1,0,0,0,0,0.1,0,0,0,0,0,0,0,0,1,0.000,0,0,0,0,0,1,0
KIELEMOES,Bavo,ZOT,1,0,3.15,5,1,0,1,0,20.0,21,8,7,4,19,2,1,0,77,0.273,1,1,0,0,2,18,19
LAMPAERT,Thomas,WIE,0,0,0.00,1,0,0,0,0,2.0,0,0,0,2,0,0,0,0,6,0.000,0,0,0,0,0,3,3
LEBACKS,Sharlon,GEN,2,0,1.56,4,2,0,1,1,17.1,15,3,3,5,20,4,0,0,67,0.224,2,1,0,1,0,15,15
LEYS,Kevin,LIE,0,0,7.71,2,0,0,0,0,7.0,12,7,6,3,5,0,1,1,31,0.387,0,0,0,0,0,6,6
LIMONTA PADILLA,Alejandro,BRI,1,1,4.41,3,2,0,0,0,16.1,17,10,8,8,19,4,0,0,65,0.262,0,0,0,0,0,17,10
LOOBUYCK,Victor,WIE,0,2,15.79,4,3,0,0,0,17.2,29,32,31,15,22,6,2,0,78,0.372,0,9,0,0,1,14,9
LORRENTOP,Lucas,HOB,1,1,2.89,5,2,0,0,0,18.2,13,7,6,7,34,3,0,0,67,0.194,5,1,0,0,0,13,4
MARTINEZ ISHIHARA,Kentaro,MER,0,0,7.56,3,1,0,0,0,8.1,6,7,7,13,2,1,0,1,28,0.214,2,1,2,1,0,7,12
MEERT,Aaron,MER,0,0,13.50,1,0,0,0,0,4.0,8,6,6,2,3,0,0,0,19,0.421,0,0,0,0,0,8,0
MEURIS,Robin,GEN,2,0,3.77,3,2,0,0,0,14.1,14,7,6,5,24,4,1,1,55,0.255,1,0,1,0,0,9,8
MORGAN,John Paul,BOR,0,1,11.37,1,1,0,0,0,6.1,7,9,8,3,7,1,0,0,27,0.259,2,3,0,0,0,3,8
MULDERS,Matthias,BRA,0,0,6.75,1,0,0,0,0,1.1,2,1,1,3,2,1,0,0,7,0.286,0,0,0,0,0,1,1
MUMENTHALER,Frédéric,BRI,0,1,6.75,3,1,0,0,0,6.2,10,5,5,6,7,0,0,0,28,0.357,2,0,0,0,0,5,5
NIAZI,Hsibullah,BOR,0,1,10.80,3,1,0,1,0,6.2,13,10,8,1,4,1,0,0,35,0.371,7,1,1,0,1,6,10
OGIKUBO,Toshinori,BRU,0,0,9.00,1,0,0,0,0,2.0,3,2,2,2,2,2,0,0,9,0.333,0,0,0,0,0,2,2
PACHECO ALVAREZ,Giënco,BOR,0,0,9.00,1,0,0,0,0,2.0,2,2,2,4,3,0,0,0,7,0.286,0,0,0,0,0,1,1
PEREZ CABARALLO,Arturo,BRI,0,0,13.50,1,0,0,0,0,3.1,2,5,5,4,5,1,0,0,11,0.182,3,1,0,0,0,4,0
PLASSCHAERT,Briek,ZOT,0,0,0.00,1,0,0,0,0,2.1,0,0,0,2,3,0,0,0,7,0.000,1,0,0,0,0,3,1
POLFLIET,Xian,WBA,0,0,6.75,1,0,0,0,0,4.0,9,3,3,0,2,3,0,0,21,0.429,0,0,0,0,0,5,5
PÉREZ,Miguel,BRI,0,1,34.36,3,1,0,0,0,3.2,9,14,14,15,5,0,0,0,20,0.450,1,1,0,0,0,1,5
RUELLE,Andy,BRA,1,0,0.90,1,1,0,1,0,10.0,5,4,1,2,10,2,0,0,39,0.128,0,0,0,0,0,19,1
RUELLE,Daan,BRA,0,0,2.08,3,0,0,0,0,4.1,1,1,1,5,5,0,0,0,14,0.071,1,1,0,0,0,3,5
SADZO,Tomas,HOB,0,0,0.00,2,0,0,0,0,4.0,2,0,0,1,3,0,0,0,13,0.154,0,1,0,0,0,2,5
SAKAI,Yosuke,BRI,1,0,0.00,1,1,0,0,0,5.0,1,0,0,2,5,0,0,0,17,0.059,0,0,0,0,0,6,4
SELLICAERTS,Yorrid,HOB,0,0,9.00,2,0,0,0,0,4.0,4,4,4,5,7,1,0,0,16,0.250,0,1,0,0,0,3,2
SEWERIN,Tim,HOB,0,0,23.63,1,0,0,0,0,2.2,8,7,7,4,2,4,1,0,16,0.500,0,0,0,0,0,3,3
SLUYS,Aaron,BRU,0,1,8.59,5,1,0,0,0,14.2,12,16,14,15,21,3,0,1,54,0.222,2,6,0,0,0,10,8
SMETZ,Tristan,MSG,1,1,4.95,6,2,0,0,0,20.0,21,20,11,13,18,6,0,0,75,0.280,0,3,0,0,2,28,6
SPURGEON MIZUNOYA,Joe,BRU,2,3,6.93,7,5,0,1,0,24.2,27,25,19,26,29,5,2,1,105,0.257,3,3,1,0,0,28,17
TRAN,David,BRI,0,1,81.00,1,1,0,0,0,0.1,0,4,3,4,0,0,0,0,2,0.000,1,0,0,0,0,1,0
TSIOBBEL,Sam,ZOT,2,0,3.86,2,2,0,0,0,7.0,4,4,3,8,13,0,0,0,25,0.160,0,1,0,0,1,4,4
