Surname,First Name,Team,AB,R,H,H2,H3,HR,RBI,TB,AVG,SLG,OBP,OPS,BB,HBP,SO,GDP,SF,SH,SB,CS
ADANK,Martin,NAM,4,0,1,0,0,0,2,1,0.250,0.250,0.250,0.500,0,0,1,0,0,0,0,0
ALMONTE BERROA,Oliver,MER,76,9,14,2,0,0,3,16,0.184,0.211,0.295,0.506,7,5,21,2,0,1,6,1
ARGUINZONES OCANTO,Johiner Alfonso,DEU,110,32,39,13,0,3,22,61,0.355,0.555,0.459,1.014,18,5,10,2,2,0,8,0
BALLARDINI,Lino,HOB,96,25,36,9,0,1,24,48,0.375,0.500,0.480,0.980,25,0,13,1,6,2,0,0
BEECKMANS,Tom,BRA,13,0,1,0,0,0,0,1,0.077,0.077,0.077,0.154,0,0,5,0,0,0,0,0
BIESEMANS,Leko,MER,57,9,10,1,1,0,7,13,0.175,0.228,0.338,0.566,13,1,16,0,0,0,0,0
BLAKE,Isaac,MER,30,4,8,0,0,0,1,8,0.267,0.267,0.353,0.620,4,0,6,1,0,0,2,0
BOERMANS,Jens,BOR,33,6,7,1,1,0,9,10,0.212,0.303,0.278,0.581,2,1,15,0,0,0,0,0
BOERMANS,Sam,BOR,96,19,26,7,0,3,27,42,0.271,0.438,0.381,0.819,13,6,24,1,3,1,7,0
BUSTAMANTE,Daniel,DEU,80,19,32,8,2,4,25,56,0.400,0.700,0.500,1.200,13,4,13,0,1,1,5,3
CASIE,Natan,BOR,2,1,1,1,0,0,0,2,0.500,1.000,0.667,1.667,1,0,0,0,0,0,0,0
CHAIBUB CORONEL,Tony Alberto,DEU,88,16,24,4,0,2,18,34,0.273,0.386,0.340,0.726,9,0,7,5,0,0,0,0
CHATEL,Alexandre,MSG,5,1,1,0,0,0,0,1,0.200,0.200,0.200,0.400,0,0,1,0,0,0,0,0
CLESSE,Tashi-Phuntsok,MSG,32,7,7,1,0,0,3,8,0.219,0.250,0.422,0.672,8,4,11,0,1,1,2,2
CLINCKART,Emeric,MSG,15,1,1,0,0,0,2,1,0.067,0.067,0.125,0.192,1,0,5,0,0,0,0,0
COCU,Rafael,BOR,1,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0
COLLAZOS MUNOZ,Nathéo,MSG,18,4,1,0,0,0,3,1,0.056,0.056,0.240,0.296,2,3,12,0,2,0,2,0
COLLE,Florian,MSG,95,18,31,2,1,0,16,35,0.326,0.368,0.411,0.779,12,3,11,0,2,0,10,0
COOPER,Hunter,BRA,136,23,46,9,1,1,36,60,0.338,0.441,0.381,0.822,8,2,7,3,1,2,1,1
COSSE,Florian,NAM,12,2,0,0,0,0,0,0,0.000,0.000,0.143,0.143,2,0,5,0,0,0,1,0
CROMWELL,Andrew,MSG,57,10,12,2,2,1,4,21,0.211,0.368,0.416,0.784,19,1,7,1,0,1,4,3
D'HALLEWIN,Alexandre,MSG,46,7,4,1,0,0,4,5,0.087,0.109,0.271,0.380,10,2,18,0,1,2,1,0
DASPREMONT,Stéphane,NAM,71,6,9,2,0,1,6,14,0.127,0.197,0.244,0.441,8,3,22,0,0,2,1,0
DASSY,Noah,MSG,61,9,10,1,0,0,5,11,0.164,0.180,0.395,0.575,22,2,20,0,1,0,0,1
DE BAETS,Matthias,BOR,19,2,3,1,0,0,2,4,0.158,0.211,0.227,0.438,1,1,8,0,1,0,1,0
DE BOEY,Robbe,BRA,66,26,24,2,0,0,10,26,0.364,0.394,0.481,0.875,11,4,6,1,0,3,3,0
DE BRAUWER,Zion,HOB,88,32,33,8,1,0,23,43,0.375,0.489,0.517,1.006,26,3,8,0,3,5,20,2
DE JONGH,Robbe,MSG,10,2,3,0,0,0,0,3,0.300,0.300,0.462,0.762,3,0,6,0,0,0,0,0
DE LANNOY,Steven,BRA,115,35,43,7,2,4,39,66,0.374,0.574,0.479,1.053,18,6,8,1,1,2,15,2
DE LAUW,Zino,MER,18,3,2,0,0,0,0,2,0.111,0.111,0.200,0.311,2,0,7,1,0,1,0,0
DE LEPPER,Rene,BOR,7,0,2,1,0,0,1,3,0.286,0.429,0.444,0.873,2,0,1,0,0,0,1,0
DE NIJS BIK,Floris,BRA,33,8,7,0,0,0,5,7,0.212,0.212,0.270,0.482,3,0,4,1,1,1,1,0
DE QUINT,Dennis,HOB,61,24,25,2,0,4,18,39,0.410,0.639,0.565,1.204,20,3,10,0,1,0,2,0
DE SAEDELEER,Roche Junior,DEU,66,10,21,2,0,0,10,23,0.318,0.348,0.370,0.718,4,2,7,0,1,2,2,3
DE SAEDELEER,Sander,BOR,109,29,28,2,1,1,11,35,0.257,0.321,0.388,0.709,17,7,26,1,1,0,12,1
DE SMEDT,Daan,MER,9,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,9,0,0,1,0,0
DELGADO,Kelvin,BRA,93,16,34,7,1,0,18,43,0.366,0.462,0.429,0.891,11,0,7,2,1,0,6,0
DELORY,Arthur,NAM,57,10,6,1,0,0,3,7,0.105,0.123,0.292,0.415,10,5,18,0,0,1,1,0
DESMEDT,Kevin,HOB,32,5,12,1,0,1,12,16,0.375,0.500,0.487,0.987,4,3,4,0,0,0,0,0
DOM,Glenn,MER,7,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,3,0,0,0,0,0
DOM,Kenny,MER,36,9,8,2,1,0,5,12,0.222,0.333,0.378,0.711,2,7,11,1,0,0,1,0
FATIHI,Ayoub,BOR,12,3,0,0,0,0,0,0,0.000,0.000,0.200,0.200,3,0,11,0,0,0,3,1
FRIJNS,Niels,MER,3,0,0,0,0,0,0,0,0.000,0.000,0.250,0.250,1,0,2,0,0,0,0,0
FUNDORA BASNUEVA,Elio,DEU,68,7,15,2,0,1,16,20,0.221,0.294,0.316,0.610,6,4,18,0,1,0,3,0
GERDEL NIETO,Anderson Denny,DEU,1,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0
GEUQUET,Ludovic,NAM,6,2,2,0,0,0,0,2,0.333,0.333,0.429,0.762,1,0,0,0,0,0,0,0
GILPIN,Zane Thomas,MER,24,1,4,1,0,0,1,5,0.167,0.208,0.231,0.439,2,0,4,0,0,1,0,0
GOFFAUX,Benjamin,HOB,113,38,51,10,4,1,15,72,0.451,0.637,0.533,1.170,14,7,12,0,1,2,24,4
GROUP,Matthias,BOR,85,16,20,4,0,1,15,27,0.235,0.318,0.327,0.645,8,4,16,0,1,1,0,0
HAESAERT,Geoffrey,MSG,59,9,13,2,0,0,7,15,0.220,0.254,0.294,0.548,6,1,16,0,2,1,0,0
HELSEN,Lowie,BOR,1,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0
HENDRICKX,Zane,HOB,5,1,1,0,0,0,1,1,0.200,0.200,0.333,0.533,1,0,3,0,0,0,0,0
HERNANDEZ SARAO,Eder,DEU,9,3,2,0,0,0,3,2,0.222,0.222,0.300,0.522,1,0,2,0,0,1,0,0
HERRERA,Chad,MSG,40,8,12,4,1,0,8,18,0.300,0.450,0.378,0.828,5,0,0,1,0,2,1,0
HEYMANS,Arthur,NAM,112,29,41,9,2,2,22,60,0.366,0.536,0.418,0.954,6,4,3,1,0,2,15,1
HEYMANS,Lucas,NAM,73,12,18,2,0,3,19,29,0.247,0.397,0.360,0.757,11,3,6,0,2,0,2,1
IMBERT,Nils,BOR,68,9,13,4,0,0,11,17,0.191,0.250,0.341,0.591,14,2,26,3,1,1,7,1
JANSSEN,Andy,HOB,1,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0
JANSSEN,Drew,HOB,10,4,2,0,0,0,2,2,0.200,0.200,0.429,0.629,4,0,3,0,0,0,1,0
JANSSENS,Wesley,HOB,107,28,44,2,0,1,30,49,0.411,0.458,0.455,0.913,11,0,5,4,3,2,12,2
JOOSSENS,Matthew,BRA,24,8,11,1,3,1,11,21,0.458,0.875,0.567,1.442,6,0,3,0,0,0,1,0
JORDENS,Steve,NAM,76,11,9,1,0,0,4,10,0.118,0.132,0.272,0.404,12,4,26,0,0,2,1,1
JUDE,Samuel,NAM,9,0,0,0,0,0,1,0,0.000,0.000,0.250,0.250,2,1,3,1,0,0,0,0
KOLB,Owen,MSG,42,9,5,2,0,0,5,7,0.119,0.167,0.275,0.442,3,6,18,0,0,2,5,0
KUENEN,Daan,MSG,73,14,26,4,2,0,24,34,0.356,0.466,0.390,0.856,3,1,13,0,0,0,4,0
