Surname,First Name,Team,W,L,ERA,APP,GS,SV,CG,SHO,IP,H,R,ER,BB,SO,H2,H3,HR,AB,BAVG,WP,HBP,BK,SFA,SHA,GO,FO
BLOM,Titus,GRE,0,1,38.50,1,1,0,0,0,2.0,10,11,11,4,1,2,1,0,16,0.625,1,0,0,0,0,2,3
BONAFASIA,Lo,CHI,0,1,12.41,2,1,0,1,0,7.1,17,13,13,11,3,1,1,0,36,0.472,4,2,0,1,0,7,9
DE CLOEDT,Jelle,CHI,1,5,17.25,8,7,1,4,0,28.0,57,73,69,50,11,11,4,9,135,0.422,25,10,0,1,1,43,23
DE QUINT,Dennis,HOB,12,0,2.28,12,10,0,10,3,58.1,36,23,19,32,74,6,3,4,212,0.170,12,3,1,2,2,75,24
GELDOF,Dean,GRE,0,9,12.80,12,10,0,3,0,42.2,98,92,78,26,34,17,4,17,229,0.428,13,1,0,1,1,42,46
MEYERS,Fransel Adriaan,CHI,0,1,12.35,1,1,0,1,0,5.2,11,11,10,5,0,4,1,1,29,0.379,1,1,0,0,1,9,8
MOSTAERT,Nando,DEU,0,0,0.00,1,0,0,0,0,1.0,0,0,0,1,0,0,0,0,1,0.000,1,1,0,1,0,1,1
RIZZI,Lucas,HOB,3,2,8.90,7,6,0,3,0,30.2,49,43,39,36,19,6,3,6,134,0.366,15,1,0,2,1,43,24
VAN AARSEN,Kristof,DEU,14,4,3.11,18,18,0,17,2,94.2,100,51,42,38,140,15,4,9,383,0.261,7,4,0,2,1,71,67
VAN DEN BRANDEN,Kenny,HOB,0,0,21.00,1,0,0,0,0,1.0,2,3,3,3,3,0,0,0,5,0.400,4,1,0,0,0,0,0
VAN DER LINDEN,Don,GRE,0,0,39.20,3,0,0,0,0,5.0,23,29,28,9,1,4,1,8,38,0.605,4,2,0,0,0,3,11
VAN DER VORST,David,CHI,0,0,49.00,1,0,0,0,0,2.0,10,14,14,5,2,1,3,2,16,0.625,1,1,0,0,0,2,2
VAN GENECHTEN,Joseph,GRE,0,8,13.46,13,7,0,5,0,47.1,105,100,91,48,39,18,10,15,246,0.427,10,2,0,4,1,36,64
VAN THIJS,Aldrich,CHI,4,2,7.30,6,6,0,4,0,30.2,41,38,32,33,38,7,2,2,127,0.323,8,3,0,1,2,30,16
VERHEYDEN,Djamy,DEU,0,0,38.50,1,0,0,0,0,2.0,5,11,11,9,0,1,0,0,11,0.455,0,2,0,0,0,4,1
VERSPREET,Xander,HOB,0,1,18.00,3,2,0,1,0,9.1,17,26,24,16,1,1,3,2,43,0.395,3,6,0,1,0,11,13
VERVLOET,Kevin,CHI,1,0,9.69,2,0,0,0,0,4.1,6,6,6,3,2,2,0,3,20,0.300,0,0,0,0,0,2,9
VINCK,Matthieu,GRE,0,0,38.50,2,0,0,0,0,2.0,12,15,11,6,1,1,0,2,17,0.706,1,2,0,1,0,2,2
VOJTECH,Kasper,CHI,2,2,2.04,4,4,0,4,2,24.0,19,9,7,3,39,2,0,2,93,0.204,3,0,0,0,0,21,11
