Surname,First Name,Team,G,C,PO,A,E,FLDP,DP,SBA,CSB,SBAP,PB,CI
ADAM,Damien,BRI,8,5,1,4,0,1.000,0,0,0,,0,0
ADAMS,Liam,ANT,6,7,5,2,0,1.000,1,0,0,,0,0
ADANK,Martin,NAM,6,2,0,2,0,1.000,1,1,0,100.0,0,0
BALZANI,Lorenzo,BRU,3,3,2,1,0,1.000,0,1,0,100.0,0,0
BARBIER,Ruben,MSG,3,9,8,1,0,1.000,1,1,0,100.0,0,0
BEEL,Erwin,HEI,2,1,0,0,1,0.000,0,0,0,,0,0
BEGUIN,Thibaut,NAM,2,10,7,2,1,0.900,0,17,0,100.0,9,0
BHUIYAN,Kashsaf,BRU,7,5,3,1,1,0.800,0,3,0,100.0,0,0
BHUIYAN,Mahedi,BRU,7,9,3,4,2,0.778,1,0,0,,0,0
BLANCO BRAVO,Yasiel,LEU,5,7,0,7,0,1.000,0,21,0,100.0,0,0
BOEHL,David,BRU,7,9,3,4,2,0.778,0,0,0,,0,0
BOGAERT,Thomas,WIE,2,16,16,0,0,1.000,0,19,0,100.0,2,0
BOMBART,Bastien,BRI,7,21,7,10,4,0.810,0,0,0,,0,0
BORDIER,Jean,BRU,5,14,7,3,4,0.714,0,33,0,100.0,12,1
BOULET DIAZ,Nguyen,DEU,1,1,0,1,0,1.000,0,0,0,,0,0
BOURGUIGNON,Lili,SER,3,1,1,0,0,1.000,0,0,0,,0,0
BRAMS,Arne,LEU,4,2,1,1,0,1.000,0,11,0,100.0,0,0
BRISBOIS,Leandri,BRU,3,3,2,0,1,0.667,0,0,0,,0,0
BRISON,Joakim,NAM,2,1,1,0,0,1.000,0,0,0,,0,0
BRISON,Thibault,NAM,2,4,4,0,0,1.000,0,12,0,100.0,0,0
CADEDDU,Matteo,BRI,3,7,6,1,0,1.000,0,0,0,,0,0
CARIS ALIAS REYNDERS,Alexander,ANT,5,15,10,4,1,0.933,2,2,0,100.0,2,0
CARIS ALIAS REYNDERS,Alexander,ANT,1,9,8,1,0,1.000,0,8,1,88.9,0,0
CASADO,Diego,DEU,6,43,39,2,2,0.953,1,23,0,100.0,13,0
CASTRO ARAUJO,Jose Javier,DEU,3,7,1,5,1,0.857,0,0,0,,0,0
CHATEL,Alexandre,MSG,5,3,1,0,2,0.333,0,0,0,,0,0
CHEN,Pei-Jie,LEU,5,15,12,2,1,0.933,0,14,0,100.0,1,0
CHENOY,Alexis,MSG,2,9,1,7,1,0.889,0,0,0,,0,0
CLEEREN,Laurent,BRI,8,5,5,0,0,1.000,0,0,0,,0,0
CLERBOIS,Theo,BRI,10,11,7,2,2,0.818,0,12,0,100.0,0,0
CLINCKART,Gautier,NAM,2,4,4,0,0,1.000,0,0,0,,0,0
CLINCKART,Melvin,NAM,8,18,12,4,2,0.889,1,0,0,,0,0
CONICKX,Pieter,MER,8,8,2,2,4,0.500,0,0,0,,0,0
COOLS,Matthias,ANT,6,51,45,5,1,0.980,1,8,0,100.0,1,0
COOLS,Matthias,ANT,2,7,6,1,0,1.000,0,6,0,100.0,3,0
COOREVITS,Arnout,WIE,1,3,3,0,0,1.000,0,0,0,,0,0
CORNISH,Oisin,HEI,7,36,32,4,0,1.000,1,44,0,100.0,7,0
COSSE,Florian,NAM,1,5,4,0,1,0.800,0,0,0,,0,0
COSSE,Tristan,NAM,5,11,7,2,2,0.818,1,0,0,,0,0
CREYELMAN,Charlie,NAM,3,3,3,0,0,1.000,0,14,0,100.0,2,0
CRIEKEMANS,Bruce,CAN,3,6,4,2,0,1.000,1,0,0,,0,0
DAOUD,Karim,HEI,9,13,5,4,4,0.692,1,3,0,100.0,0,0
DE BAERDEMAEKER,Denis,MSG,11,6,5,1,0,1.000,1,7,0,100.0,0,0
DE BAERDEMAEKER,Ralph,MSG,3,3,3,0,0,1.000,0,0,0,,0,0
DE BRAEKELEER,Rune,BRA,2,2,1,1,0,1.000,0,0,0,,0,0
DE BRUYN,Arne,ANT,7,14,5,3,6,0.571,0,0,0,,0,0
DE HAES,Kamiel,LEU,5,5,3,1,1,0.800,0,0,0,,0,0
DE PAUW,Tibe,MER,2,1,1,0,0,1.000,0,0,0,,0,0
DE RYCK,Len,HEI,8,10,5,2,3,0.700,0,0,0,,0,0
DE SMEDT,Daan,MER,4,2,2,0,0,1.000,0,0,0,,0,0
DE SMET,Niels,HEI,9,28,17,2,9,0.679,1,26,1,96.3,21,0
DE VOCHT,Robin,ANT,3,10,9,1,0,1.000,0,0,0,,0,0
DE VOCHT,Robin,ANT,6,2,1,1,0,1.000,0,0,0,,0,0
DECUYPERE,Bo,WIE,4,3,2,1,0,1.000,0,5,0,100.0,0,0
DEMOLIE,Mitchell,ANT,3,1,1,0,0,1.000,0,0,0,,0,0
DEMUNTER,Enea,OOS,7,17,8,4,5,0.706,0,1,0,100.0,0,0
DENIS,Louis,SER,13,11,6,4,1,0.909,1,4,0,100.0,0,0
DENIS,Lucie,NAM,10,8,5,2,1,0.875,0,10,0,100.0,0,0
DEREE,Grégoire,NAM,3,4,3,1,0,1.000,1,0,0,,0,0
DERESE,Livio,BRI,10,8,3,4,1,0.875,2,0,0,,0,0
DESMET,Gorik,HEI,5,5,2,0,3,0.400,0,0,0,,0,0
DEVRIENDT,Roy,OOS,11,20,9,9,2,0.900,0,4,0,100.0,3,0
DING,Yitao,BRU,5,4,2,2,0,1.000,0,0,0,,0,0
DISPA,nathanaël,NAM,1,1,0,0,1,0.000,0,0,0,,0,0
DOM,Glenn,MER,4,10,4,5,1,0.900,0,0,0,,0,0
DOYE,Adrien,NAM,4,6,5,0,1,0.833,0,0,0,,0,0
DUFOUR,Rens,WIE,2,1,0,1,0,1.000,0,2,0,100.0,0,0
ENEMAN,Tim,OOS,5,2,2,0,0,1.000,0,0,0,,0,0
ENGELS,Yago,MER,3,4,4,0,0,1.000,0,0,0,,0,0
EVERAERT,Viktor,OOS,3,2,1,0,1,0.500,0,0,0,,0,0
EVERS,Ethan,BRU,2,3,3,0,0,1.000,0,11,0,100.0,1,0
FAHANDEZH SAADI,Mohsen,BRI,4,23,20,2,1,0.957,1,0,0,,0,0
FLORUS,Aron,CAN,4,15,13,1,1,0.933,0,12,0,100.0,19,0
